Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
Prob,Flickr,http://www.flickr.com/photos/nycprobation/,12/12/2012 12:00:00 AM,
SnowUpdate,Flickr,http://www.flickr.com/groups/1604085@N23/,12/12/2012 12:00:00 AM,
HRA,Flickr,http://www.flickr.com/people/nychra/,12/12/2012 12:00:00 AM,
DSNY,Flickr,http://www.flickr.com/photos/86722064@N03/,12/12/2012 12:00:00 AM,
GreeNYC,Foursquare,http://foursquare.com/birdie_nyc,12/12/2012 12:00:00 AM,70
DOH,Foursquare,https://foursquare.com/nychealthy,12/12/2012 12:00:00 AM,44
DOT,Foursquare,http://foursquare.com/user/7474166,12/12/2012 12:00:00 AM,3
DPR,Foursquare,https://foursquare.com/nycparks,12/12/2012 12:00:00 AM,8887
EDC,Foursquare,https://foursquare.com/user/3045331,12/12/2012 12:00:00 AM,18
FDNY,Foursquare,https://foursquare.com/fdny,12/12/2012 12:00:00 AM,
Materials for the Arts,Foursquare,https://foursquare.com/mftanyc,12/12/2012 12:00:00 AM,
NYC Gov,Foursquare,http://foursquare.com/nycgov,12/12/2012 12:00:00 AM,
NYC Gov,Foursquare (Badge Unlock),https://foursquare.com/nycgov,12/12/2012 12:00:00 AM,
NYCHA,Foursquare,https://foursquare.com/nycha,12/12/2012 12:00:00 AM,382
Mayor's Office,Instagram,http://web.stagram.com/n/nycmayorsoffice,12/12/2012 12:00:00 AM,
DOT,Instagram,http://web.stagram.com/n/nyc_dot,12/12/2012 12:00:00 AM,
DOH,iPhone,http://itunes.apple.com/us/app/abceats/id502867547?mt=8,12/12/2012 12:00:00 AM,
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,12/12/2012 12:00:00 AM,16879
DOH,iPhone app,http://itunes.apple.com/app/nyc-condom-finder-by-nyc-health/id418902795,12/12/2012 12:00:00 AM,8041
DSNY,iPhone App,http://itunes.apple.com/us/app/nycrecycles/id445457149?ls=1&mt=8,12/12/2012 12:00:00 AM,171
DSNY,iPhone App,http://itunes.apple.com/us/app/stuff-ex/id445438603?ls=1&mt=8,12/12/2012 12:00:00 AM,142
DOT,iPhone app,You The Man,12/12/2012 12:00:00 AM,2635
Mayor's Office,iPhone App,http://itunes.apple.com/us/app/nyc-city-hall/id375398827?mt=8,12/12/2012 12:00:00 AM,3186
TLC,Tumblr,http://nyctlc.tumblr.com/,12/12/2012 12:00:00 AM,
MOME,iPhone App,http://itunes.apple.com/us/app/nyc-media-app/id433177943?mt=8,12/12/2012 12:00:00 AM,944
MOME,iPhone App,http://itunes.apple.com/us/app/miny-discount-vendors/id372448233?mt=8,12/12/2012 12:00:00 AM,350
DOE,Linked-In,http://www.linkedin.com/groups?gid=1545057&home=,12/12/2012 12:00:00 AM,206
DOE,Linked-In,http://www.linkedin.com/company/nyc-teaching-fellows,12/12/2012 12:00:00 AM,1458
DOE,Linked-In,http://www.linkedin.com/company/nyc-department-of-education,12/12/2012 12:00:00 AM,15084
ACS,Linked-In,http://www.linkedin.com/companies/260392/City+of+New+York%2C+Administration+for+Children%27s+Services?trk=ncsrch_hits&goback=%2Efcs_GLHD_city+of+new+york_false_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2,12/12/2012 12:00:00 AM,
All,Linked-In,http://www.linkedin.com/company/2904?trk=tyah,12/12/2012 12:00:00 AM,
Dept of Consumer Affairs,Linked-In,http://www.linkedin.com/company/831694?trk=tyah,12/12/2012 12:00:00 AM,
DOF,Linked-In,http://www.linkedin.com/company/298308?trk=tyah,12/12/2012 12:00:00 AM,
DOHMH,Linked-In,http://www.linkedin.com/company/245926?trk=tyah,12/12/2012 12:00:00 AM,
SBS,Linked-In,http://www.linkedin.com/company/workforce1,12/12/2012 12:00:00 AM,138
SBS,Linked-In,http://www.linkedin.com/company/small-business-services,12/12/2012 12:00:00 AM,114
DOE,Newsletter,,12/12/2012 12:00:00 AM,187180
DOT,Newsletter,,12/12/2012 12:00:00 AM,72614
NYC Digital: external newsletter,Newsletter,,12/12/2012 12:00:00 AM,
NYC Gov,Newsletter,0,12/12/2012 12:00:00 AM,543533
NYCHA,Newsletter,,12/12/2012 12:00:00 AM,
OEM,Newsletter,,12/12/2012 12:00:00 AM,
,nyc.gov,2800000,12/12/2012 12:00:00 AM,
Child Services,Youtube,http://www.youtube.com/user/childservices,12/12/2012 12:00:00 AM,
